ALGUM COISA TENTAR	Vamos tentar alguma coisa!
ALÉM ABERTOS ADMINISTRADORES ISSO CONCURSOS CANDIDATAR SÓ BENEFÍCIO ESSE EFEITOS PARTIR MOMENTO COLOCAR PAGAMENTO MULHER PROGRESSÃO CARREIRA PASSADO LEVAR ELE PODER NUNCA NÃO	Além disso, mesmo que fossem abertos concursos, que os administradores se candidatassem e fossem colocados, esse benefício remuneratório só teria efeitos a partir desse momento, e nunca poderia levar ao pagamento de um tipo de compensação pela ausência de progressões na carreira no passado.
JÁ ESSE ESCLARECIMENTO ACSS ESTE ADMINISTRAÇÃO CENTRAL DO SISTEMA SAÚDE TAMBÉM MULHER QUARTA FEIRA PRESTAR	Esse esclarecimento foi também prestado pela Administração Central do Sistema de Saúde (ACSS), já esta quarta-feira
HOSPITALARES EXISTENTES ADMINISTRADORES MULHER FUNÇÃO REGIME COMISSÃO SERVIÇO LUGARES MAPAS CLASSE PESSOAL SERVIÇOS EXERCER ESTABELECIMENTOS SNS INTEGRAR	Os administradores hospitalares exercem funções em regime de comissão de serviço, em lugares de classe existentes nos mapas de pessoal dos serviços e estabelecimentos integrados no SNS
ESTE LUGARES QUE ADMINISTRADORES RECURSOS SNS DETERMINAR AUFERIR GERIR NÃO_TER {NÃO}(headshake)	São os lugares de classe que determinam a remuneração auferida pelos administradores hospitalares, pelo que a alteração de grau não tem impacto remuneratório para estes profissionais, refere o organismo que gere os recursos do SNS.
MESMO ÚLTIMO QUALQUER ADJUNTO DIA SENTIDO 2 TEXTO RETROATIVOS INDEMNIZAÇÃO RETROATIVOS REFERIR DIFUNDIR VISAR AINDA_{NÃO}(headshake)	No mesmo sentido, os dois adjuntos referidos no texto que foi difundido nos últimos dias também não são visados por qualquer indemnização com retroativos.
PODER AINDA QUE COMO GESTOR RECLAMAR ATUALIZAÇÃO ESCALÃO MARTA TEMIDO CASO MINISTRA SAÚDE CONSTAR QUE REMUNERATÓRIO NOME NOME DESPACHO SEU (NÃO)	No caso da própria ministra da Saúde, alegava-se que Marta Temido poderia reclamar a atualização do seu escalão remuneratório por ser gestor de carreira, ainda que o seu nome não constasse — como não consta — do despacho
LOGO CARREIRA MINISTRA MULHER SENHOR OBSERVADOR MINISTÉRIO DA SAÚDE SAÚDE ENCONTRAR EXPLICAR CONTRATO ADMINISTRAÇÃO APLICÁVEL APLICÁVEL APLICÁVEL TRABALHO VINCULAR (NÃO)	Ao Observador, o Ministério da Saúde explica que a senhora ministra da Saúde encontra-se vinculada por contrato de trabalho, logo, a carreira de administração hospitalar não lhe é aplicável
AÍ DESPACHO DESINFORMAÇÃO CONSTAR PODER GERAR AINDA_{NÃO}(headshake)	Daí que também não pudesse constar do despacho que gerou a desinformação.
{MAS COMPLEMENTO QUE DESPACHO ESTE MAS AGORA RAZÃO SURGIR LOGO CARREIRA EFEITO ATUALIZAÇÕES 9 FAZER MAIS ANO TARDE 15}(q)	Mas, como complemento, que despacho é este e por que razão surge agora e logo para fazer as atualizações de carreiras com efeitos a nove e 15 anos mais tarde?
COMISSÃO ALEXANDRE LOURENÇO ANO AVALIAÇÃO ADMINISTRADORES HOSPITALARES NOMEAR PASSADO PASSADO	Alexandre Lourenço explica que, no ano passado, foi nomeada uma comissão de avaliação dos administradores hospitalares
ANO ISSO TODO AVALIAÇÃO ESSE 2003 CONSTITUIR DEVER ACONTECER (NÃO)	Apesar de essa avaliação dever ser constituída todos os anos, isso não acontecia desde 2003
ADMINISTRADORES ESSE PRESTAÇÃO COMISSÃO PROFISSIONAL PROFISSIONAL ALVO PROFISSIONAL SUFRÁGIO PROFISSIONAL SITUAÇÃO CANDIDATAR ANALISAR	Para serem alvo de uma avaliação por parte dessa comissão, os administradores têm de candidatar-se a esse sufrágio, em que são analisados a prestação profissional e a situação curricular
ADMINISTRADORES SEU ALGUM CURRÍCULA ENTREGAR PROCESSO AVALIAÇÃO ELES CANDIDATAR MAS MUITOS NEM PORQUE IMPACTO ISSO ZERO CHEGAR MULHER ASSESSOR APAH ILUSTRAR FAZER TER	Alguns administradores entregaram os seus currícula e candidatam-se ao processo de avaliação, mas muitos nem chegam a fazê-lo porque o impacto que isso tem é zero, ilustra o assessora da APAH.
ZERO PORQUE IMPACTO FACTO SEU NEM GRAU CONSEQUÊNCIA REMUNERAÇÃO MENSAL IMEDIATO MENSAL (NÃO)	O impacto imediato é, de facto, zero, porque a mudança de grau não tem consequência direta nem imediata na sua remuneração mensal
MAS PROGRESSÃO O CARREIRA ADMINISTRADOR EXIGÊNCIA HOSPITAIS SNS CANDIDATAR PERMITIR	Mas a progressão na carreira é o que permite a um administrador hospitalar candidatar-se a lugares de maior exigência e complexidade nos hospitais do SNS
COLOCAÇÃO CONCURSO FAZER	Uma colocação feita por concurso.
COMO AUTOR FALSO CHEFE TEXTO GABINETE MARTA TEMIDO MARTA TEMIDO MARTA TEMIDO MARTA TEMIDO SOCIAL MARTA TEMIDO ÚLTIMO REDE RECEBER REPORTAR INCENDIAR	É falso que a chefe de gabinete de Marta Temido possa receber 40 mil euros de aumentos remuneratórios reportados a 2005, como alega o autor do texto que incendiou as redes sociais nas últimas horas
TAMBÉM QUE RESPETIVO RECLAMAR MARTA TEMIDO PODER ADJUNTO MINISTÉRIO DA SAÚDE FIM FALSO VERDADE 2 REMUNERATÓRIO ATUALIZAÇÃO QUE ATUAIS MULHER FUNÇÃO EXERCER DEIXAR (NÃO)	Também não é verdade que dois adjuntos do Ministério da Saúde sejam beneficiados pelo despacho do secretário de Estado Lacerda Machado e, por fim, é falso que Marta Temido possa reclamar uma atualização do respetivo remuneratório quando deixar de exercer as atuais funções.
PAÍS VÁRIOS CORONAVÍRUS DESQUE MULHER RESTRIÇÃO CASO PAÍS VIVER APARECER MEDIDA 2 FIM PONTE SEMANA DEZEMBRO OBRIGATÓRIO RECOLHIMENTO OBRIGATÓRIO APERTAR VOLTAR	O país tem vivido vários períodos de restrições desde que o primeiro caso do novo coronavírus apareceu no país e nos dois fins de semana das pontes de dezembro as medidas voltaram a apertar, com recolhimento obrigatório e restrições à circulação entre concelhos, por exemplo
FACEBOOK PRIMEIRO FÉRIAS PRIMEIRO MINISTRO SURGIR DAR CIRCULAR PRESIDENTE DA REPÚBLICA CONCELHO RESIDÊNCIA	No primeiro desses fins de semana surgiu uma afirmação a circular no Facebook a dar conta das férias do primeiro-ministro e do Presidente da República fora do concelho de residência.
ANTÓNIO COSTA HERDADA COMPORTA FÉRIAS MARCELO ALGARVE TODO PORTUGUESES DOMICILIÁRIO PRISÃO TRABALHADORES PRIVADO PENAR	António Costa na Herdade da Comporta de férias e Marcelo no Algarve e os portugueses todos em prisão domiciliária e os trabalhadores do privado a penar
AFIRMAÇÃO PARTILHAR DIA MULHER RESTRIÇÃO MARCELO REBELO SOUSA FASE SUPOR ESTE PROLONGAR DAR	A afirmação partilhada no domingo, dia 29, em pleno fim de semana prolongado de restrições, dava conta das supostas férias de António Costa e de Marcelo Rebelo de Sousa nesta fase
MAS NADA DISTAR VERDADE	Mas nada disto é verdade.
NÃO SÓ QUE OBSERVADOR MARCELO MULHER SEGUNDA FEIRA FONTE PRESIDÊNCIA STAFF VIDEOCONFERÊNCIA SEU REUNIR CONTACTAR DESMENTIR MAS ELE GABINETE REUNIÃO BELÉM SEU ENTRAR	O Observador contactou fonte oficial da Presidência que não só desmente a afirmação como garante que na segunda-feira, dia 30, Marcelo esteve reunido com o seu staff em videoconferência, mas que ele entrou na reunião a partir do seu gabinete em Belém
TAMBÉM ABSOLUTO PRIMEIRO MINISTRO ESTE GABINETE CONTEÚDO PRIMEIRO MINISTRO REJEITAR PARTILHA FÉRIAS IR NÃO NEM FIM SEMANA ESSE COMPORTA (NÃO)	E o gabinete do primeiro-ministro também rejeita absolutamente o conteúdo desta partilha: O primeiro-ministro não foi de férias nem esteve na Comporta nesse fim de semana.
ALIÁS FIM SEMANA ESTE ANTÓNIO COSTA PROLONGAR FIM SEMANA LOGO MARCELO REBELO SOUSA CERIMÓNIA DEZEMBRO RESTAURAÇÃO DA INDEPENDÊNCIA LOGO LOGO JUNTO LISBOA COMEMORATIVO MANHÃ	Aliás, neste fim de semana prolongado, António Costa e Marcelo Rebelo de Sousa até estiveram juntos, em Lisboa, na cerimónia comemorativa da Restauração da Independência do 1º de dezembro, logo de manhã
DEPOIS OBSERVADOR PRIMEIRO MINISTRO ISSO ENTREVISTA DIRETO RÁDIO TRANSMITIR ONDE CONSELHO EUROPEU CHARLES MICHEL BRUXELAS 1 1 1 CONSELHO 1 JANEIRO PREPARAR SEGUIR COMEÇAR	Depois disso, o primeiro-ministro esteve no Observador para uma entrevista transmitida em direto na rádio e seguiu para Bruxelas, onde tinha um encontro com o presidente do Conselho Europeu Charles Michel, para preparar a presidência portuguesa do Conselho, que começa a 1 de janeiro.
AINDA FIM SEMANA PARTILHA ASSUMIR OUTRO FORMA REDE SUPOR RESPONSÁVEL RESPONSÁVEL RESPONSÁVEL PELAR DAR ESTE CONTAR CONTAR CONTAR EMERGÊNCIA PAÍS CONTAR CASO POST VEZ	Ainda durante o fim de semana, estas partilhas assumiram outras formas, na mesma rede social, com mais imagens a dar conta da mesma informação sobre as supostas férias dos dois responsáveis políticos neste período em que o país está em estado de emergência pela quinta vez, como é o caso deste post:
OU AINDA ESTE TOM DIFERENTE PRIMEIRO MINISTRO APENAS DIRIGIR	Ou ainda este, num tom diferente, e dirigido apenas ao primeiro-ministro:
FÉRIA REGISTO 2 POLÍTICO MÊS AGOSTO HAVER IR	As últimas férias de que há registo destes dois responsáveis políticos foram no mês de agosto
NESSA ALTURA MARCELO REBELO SOUSA FACTO FÉRIAS ALGARVE ALVOR	Nessa altura, Marcelo Rebelo de Sousa esteve, de facto, de férias no Algarve, no Alvor
ANTÓNIO COSTA MESMA ZONA MAS PAÍS LAGOA	E António Costa esteve na mesma zona do país, mas em Lagoa
NESSA ALTURA ETIQUETA QUALQUER PAÍS PLANO MEDIDAS NÍVEL CIRCULAÇÃO ESPAÇOS RESPIRATÓRIO PRAIAS ESPECÍFICO VIGORAR NÃO_TER {NÃO}(headshake)	Nessa altura, o país não tinha quaisquer medidas restritivas ao nível da circulação, vigorando apenas as regras de distanciamento social, uso de máscara em espaços públicos, a etiqueta respiratória, para além de um plano específico para a utilização das praias.
HOJE PRESIDENTE EMPRESA CATERPILLARS CONSELHO ADMINISTRAÇÃO DA ANA AEROPORTOS JOSÉ LUÍS ARNAUT MÊS ABRIL TRABALHAR	O presidente do Conselho de Administração da ANA Aeroportos, José Luís Arnaut, disse hoje que a empresa está preparada para pôr os caterpillars a trabalhar no novo aeroporto do Montijo já no mês de abril.
JÁ BDC HAVERÁ E JORNAL ECONÓMICO MULHER CONSULTOR RETOMAR WEBINAR TRABALHAR PARTICIPAR PROMOVER	Estamos preparados para pôr os caterpillars a trabalhar já no mês de abril, afirmou o chairman da Ana, que participava no webinar Haverá retoma sem transporte aéreo?, promovido pelo Jornal Económico e pela consultora BDC.
RESPONSÁVEL MONTIJO IMPORTANTE IMPORTANTE IMPORTANTE IMPORTANTE PASSAGEIRO AEROPORTO EVITAR SUBLINHAR ARRANCAR CONSIDERAR SENTIR AEROPORTUÁRIAS INCAPACIDADE NÍVEL INFRAESTRUTURAS NECESSIDADES SUPRIR	O responsável da gestora de aeroportos sublinhou a inteira disponibilidade da ANA para arrancar com a obra na infraestrutura aeroportuária do Montijo, que considerou importante para evitar os constrangimentos sentidos em 2019, com o aumento do fluxo de passageiros nos aeroportos nacionais e a incapacidade ao nível de infraestruturas aeroportuárias para suprir as necessidades.
QUE MUNICÍPIO ALGUM LEI NACIONAL NACIONAL NACIONAL OBRAS INTERESSE NACIONAL PÔR NACIONAL SABER COLOCAR REVER PERMITIR	Sabemos que há obstáculos colocados por algumas câmaras municipais por razões políticas, apontou José Luís Arnaut, frisando a necessidade de se rever a lei que permite que um único município ponha em causa obras de interesse nacional.
SÓ TER ELE TER REALÇAR RETOMAR HAVER AÉREOS HAVER AEROPORTUÁRIAS ECONÓMICO TURISMO HAVER TER TER VOLTAR AÉREOS TER TRANSPORTES RETOMAR	Só voltaremos a ter retoma económica, primeiro, se tivermos a retoma do turismo e, para haver retoma do turismo, tem de haver transportes aéreos e, para haver transportes aéreos, tem de haver infraestruturas aeroportuárias, realçou.
AINDA JOSÉ LUÍS ARNAUT CADA APLICAÇÃO TAXA CARBONO BILHETE AVIÃO PASSAGEIRO CRITICAR IMPLICAR	José Luís Arnaut criticou, ainda, a aplicação de uma taxa de carbono que implica um aumento de 20% [no preço do bilhete de avião] a cada passageiro.
TURISMO PARTE GOVERNO MATAR QUESTIONAR APELAR QUERER	Querem matar o turismo?, questionou, apelando para que haja responsabilidade por parte do Governo
SÓ SÓ MORATÓRIAS BAZUCAS PRECISO HAVER RESPONSABILIDADE CONCLUIR SER (NÃO)	Não é só moratórias, não é só bazucas, é preciso haver responsabilidade, concluiu.
MINISTRO ESTE GOVERNO SEMANA INFRAESTRUTURAS INFRAESTRUTURAS INFRAESTRUTURAS MONTIJO PARLAMENTO PONDERAR DIZER RESPONDER APROVAR BREVE PRAZO NOVIDADES TER ELE ESPERAR	O ministro das Infraestruturas disse esta semana que o Governo está a ponderar os moldes em que vai responder à avaliação ambiental estratégica do novo aeroporto do Montijo, aprovada pelo parlamento e espera ter novidades a breve prazo.
RELATIVO COMO PARLAMENTO MONTIJO HAVER TRABALHO OBRAS PÚBLICAS HABITAÇÃO ASSEMBLEIA DA REPÚBLICA APROVAR DIZER	Há um trabalho de ponderação que estamos aqui a fazer relativamente aos moldes como vamos responder ao que o parlamento aprovou [avaliação ambiental estratégica do aeroporto do Montijo], disse Pedro Nuno Santos, que falava numa audição regimental da Comissão de Economia, Inovação, Obras Públicas e Habitação, na Assembleia da República.
PRAZO ESSE TRABALHO NOVIDADES MAIS TER ESPERAR ACRESCENTAR DAR DEPOIS BE JOANA MORTÁGUA SE GOVERNO ESSE AVALIAÇÃO CONSTRUIR MULHER DEPUTADO BLOCO ESQUERDA AEROPORTO NOVO FAZER IR OU MAIS COMO POSSÍVEL AMBIENTAL ESTRATÉGICO AVALIAÇÃO UMA VEZ QUE OUTRO LOCALIZAÇÃO ALCOCHETE COMPARAÇÃO DO QUE LOCALIZAÇÃO PREVER CONSIDERAR (NÃO)	Esse é um trabalho que a breve prazo espero ter novidades mais concretas para dar, acrescentou, depois de questionado pela deputada do Bloco de Esquerda (BE) Joana Mortágua, sobre se o Governo vai fazer essa avaliação ambiental estratégica para construir o novo aeroporto e se vai ou não considerar Alcochete como outra possível localização, uma vez que a avaliação ambiental estratégica prevê a comparação de mais do que uma localização.
GOVERNO ANO NEGATIVO NEGATIVO NEGATIVO NEGATIVO NEGATIVO ORÇAMENTO DO ESTADO NOVEMBRO MULHER COLIGAÇÃO NEGATIVO PROCEDER TER APROVAR	O Governo terá de proceder, no próximo ano, a uma Avaliação Ambiental Estratégica para o novo aeroporto de Lisboa, segundo duas propostas de alteração ao Orçamento do Estado para 2021 (OE2021) aprovadas em 24 de novembro através de coligações negativas.
PROPOSTA CAUSA PAN OUTRA PEV COMISSÃO ORÇAMENTO APROVAR FINANÇAS TODO PARTIDOS VOTOS EXCEÇÃO PS VOTAR	Em causa está uma proposta do PAN e outra do PEV aprovadas na Comissão de Orçamento e Finanças, com os votos favoráveis de todos os partidos à exceção do PS, que votou contra.
JÁ MINISTRO AVALIAÇÃO AUDIÇÃO PROPÓSITO PARLAMENTO ORÇAMENTO DO ESTADO DEFENDER PANDEMIA ADMITIR CRISE ALGUM TEMPO AMBIENTAL ESTRATÉGICO AVALIAÇÃO CAUSAR DAR	O ministro já tinha admitido uma avaliação ambiental estratégica, numa audição no parlamento a propósito do Orçamento do Estado, defendendo que a pandemia e a crise que está a causar dão algum tempo para ponderar a avaliação ambiental estratégica.
AMBIENTALISTAS NOVO MULHER ASSOCIAÇÃO AQUELE VÁRIOS REALIZAÇÃO TIPO PROJETO AVALIAÇÃO AEROPORTO MONTIJO DEFENDER MAS B O MONTIJO GOVERNO CONCRETIZAÇÃO PRIMEIRO MINISTRO PLANO SEU TER AVANÇAR PRETENDER AFIRMAR HAVER (NÃO)	Várias associações ambientalistas defendiam a realização daquele tipo de avaliação ao projeto do novo aeroporto do Montijo, mas o Governo pretendia avançar com a sua concretização, tendo até o primeiro-ministro, António Costa, afirmado que não há um plano B para o Montijo.
IMAGEM 1000 PALAVRA MAIS VALER	Uma imagem vale mais que mil palavras
ESTA LEGENDA PRIMEIRO MINISTRO RUA BAIXA LISBOA ACOMPANHAR PARTILHAR CAMINHAR MOSTRAR	É esta a legenda que acompanha uma fotografia de António Costa que está a ser partilhada no Facebook, que mostra o primeiro-ministro a caminhar sem máscara numa rua da Baixa de Lisboa
DEPOIS QUE GOVERNANTE BURRO OBRIGATÓRIO ANDAR AÇAIME FOCINHO ESPAÇOS EXTERIORES MÁSCARA DESRESPEITAR QUERER	Depois querem que o burro ande com o açaime no focinho, comenta um utilizador, sugerindo que o governante foi fotografado a desrespeitar o uso obrigatório de máscara nos espaços exteriores
IMAGEM VERDADEIRO MAS ANTES ENTRADA NORMA VIGOR MULHER FINAL OUTUBRO CAPTAR	A imagem é verdadeira, mas foi captada antes da entrada em vigor da norma, em finais de outubro.
POST FINAL NOVEMBRO PUBLICAR RAPIDAMENTE PARTILHA MAIS 300 FACEBOOK ATINGIR	O post foi publicado no final de novembro e rapidamente atingiu mais de 300 partilhas no Facebook
FOTOGRAFIA CAUSA MANHÃ DIA 16 4 4 4 MAIO RESTAURANTE MAIO TIRAR	A fotografia em causa foi tirada na manhã do dia 16 de maio, por um fotojornalista da Agência Lusa, durante uma visita do primeiro-ministro à Baixa lisboeta, duas semanas após a reabertura do comércio de bairro, a 4 de maio, e na antevéspera da reabertura dos restaurantes, a 18 de maio
COMO POSSÍVEL VER IMAGEM CAPTAR QUANDO COMITIVA PORTA ARMAZÉNS DO CHIADO INÍCIO SOCIALISTA SOCIALISTA SOCIALISTA FERNANDA TADEU CÂMARA MUNICIPAL LISBOA SOCIALISTA FERNANDO MEDINA ACOMPANHAR PASSADO	Como é possível ver na imagem, captada quando a comitiva passava à porta dos Armazéns do Chiado, no início da Rua do Carmo, Costa fez-se acompanhar pela mulher, Fernanda Tadeu, e pelo presidente da Câmara Municipal de Lisboa, o socialista Fernando Medina.
EXTERIORES RECOMENDAÇÃO MAIO PARTE DIREÇÃO GERAL SAÚDE USO DGS MÁSCARA ESPAÇOS EXISTIR AINDA_{NÃO}(headshake)	Em maio, ainda não existia por parte da Direção-Geral de Saúde (DGS) uma recomendação para o uso de máscara em espaços exteriores
SINTETICAMENTE FOTOGRAFIA RESTO ESSE DESFASAMENTO FONTE OBSERVADOR SÃO BENTO REFERIR ATUAL SUBLINHAR (NÃO)	Esse desfasamento temporal é, de resto, sublinhado ao Observador por fonte de São Bento, ao referir sinteticamente que a fotografia não é atual.
VÁRIOS POSSIBILIDADE PROTEÇÃO RUA AFASTAR PROMULGAR VIR TORNAR MAS NORMA OUTUBRO APROVAR ACABAR	Durante vários meses, Graça Freitas afastou a possibilidade de vir a ser promulgada uma lei que tornasse obrigatório a utilização deste tipo de proteção na rua, mas a norma acabou por ser aprovada em outubro
JÁ NOMEADO MEDIDA OUTRO ESSE PAÍS ALTURA FRANÇA A 1 SETEMBRO TOMAR IMPOR	Por essa altura, a medida já tinha sido tomada por outros países europeus, nomeadamente por França, que a impôs a partir de 1 de setembro.
COMO NOVO CORONAVÍRUS LEI PORTUGAL OBRIGATORIEDADE USO 28 PANDEMIA FORMA VIGOR 28 OUTUBRO COMBATER ENTRAR DEPOIS PRESIDENTE DA REPÚBLICA PROMULGAR	Em Portugal, a lei sobre a obrigatoriedade do uso de máscara da rua como forma de combater a pandemia do novo coronavírus entrou em vigor a 28 de outubro, depois de promulgada pelo Presidente da República
