Bom dia, Mike.	BOM DIA MIKE
Sombra ou sossego dêem aos crentes	SOMBRA OU SOSSEGO CRENTES DAR
De que essa terra se pode ter	TERRA ESSE TER PODER
Felizes, nós? Ali, talvez, talvez,	{NÓS FELIZES TALVEZ ALI TALVEZ}(q)
Naquela terra, daquela vez,	AQUELE AQUELE TERRA VEZ
Mas já sonhada se desvirtua,	MAS JÁ ELE DESVIRTUAR SONHAR
Só de pensá-la cansou pensar;	SÓ ELE CANSAR PENSAR PENSAR
Sob os palmares, à luz da lua,	PALMARES LUZ LUA
Sente-se o frio de haver luar	FRIO LUAR ELE SENTIR HAVER
Ah, nesta terra também, também	TAMBÉM ESTE AH TERRA TAMBÉM
O mal não cessa, não dura o bem.	MAL BEM ELE DURAR NÃO CESSAR (NÃO)
Não é com ilhas do fim do mundo,	ILHAS FIM MUNDO (NÃO)
Nem com palmares de sonho ou não,	SONHO OU NEM PALMARES (NÃO)
Que cura a alma seu mal profundo,	PROFUNDO ALMA MAL SEU CURAR
Que o bem nos entra no coração.	BEM NÓS CORAÇÃO ENTRAR
É em nós que é tudo. É ali, ali,	NÓS TUDO ALI ALI
Que a vida é jovem e o amor sorri.	VIDA JOVEM AMOR SORRIR
O meu sentimento é cinza	SENTIMENTO CINZA MEU
Da minha imaginação,	IMAGINAÇÃO MEU
E eu deixo cair a cinza	EU CINZA CAIR DEIXAR
No cinzeiro da Razão.	CINZEIRO RAZÃO
Cinco Diálogos sobre a Tirania	0 DIÁLOGOS TIRANIA
Teatro Estático:	TEATRO ESTÁTICO
1. O Mar; 2. (...); 3. Morte do P.[ríncípe]; 4. Salomé; 5. Sakyamuni	1 MAR 2 3 MORTE DO P. RÍNCÍPE 4 SALOMÉ 5 SAKYAMUNI
Itinerário	ITINERÁRIO
Quaresma, decifrador	QUARESMA DECIFRADOR
LENDA IMPERIAL	LENDA IMPERIAL
Minha imaginação é uma cidade no Oriente. Toda a sua composição de realidade no espaço tem a voluptuosidade de superfície de um tapete rico e mole. As tendas que multicoloram as suas ruas destacam-se sobre não sei que fundo que não é o delas como bordados de amarelo ou vermelho sobre cetim azul-claríssimo. Toda a história progressa dessa cidade voa em torno à lâmpada do meu sonho como uma borboleta apenas ouvida na penumbra do quarto. Minha fantasia habitou entre pompas outrora e recebeu das mãos de rainhas jóias veladas de antiguidade. Atapetaram molezas íntimas os areais da minha inexistência e, hálitos de penumbra,	MEU IMAGINAÇÃO CIDADE ORIENTE SEU TODA A COMPOSIÇÃO REALIDADE ESPAÇO ELE TER VOLUPTUOSIDADE RICO MOLE TAPETE QUE TENDAS RUAS SEU DESTACAR AZUL CLARÍSSIMO AZUL CLARÍSSIMO AZUL CLARÍSSIMO AZUL CLARÍSSIMO VERMELHO CETIM AZUL CLARÍSSIMO BORDAR AZUL CLARÍSSIMO MULTICOLORAM MEU TODA A HISTÓRIA CIDADE LÂMPADA SONHO BORBOLETA PENUMBRA QUARTO ELE VOAR OUVIR OUTRORA MEU FANTASIA POMPAS HABITAR JÓIAS RAINHAS MÃOS ANTIGUIDADE ELE RECEBER VELAR ÍNTIMAS MOLEZAS AREAIS INEXISTÊNCIA HÁLITOS PENUMBRA MEU ELES ATAPETAR (NÃO)
as algas boiaram à ostensiva dos meus rios. Fui por isso pórticos em civilizações perdidas, febres de arabescos em frisos inertes, enegrecimentos de eternidade nos coleios das colunas partidas, mastros apenas nos naufrágios remotos, degraus só de tronos abatidos, véus nada velando, e como que velando sombras, fantasmas erguidos do chão como fiamos de turíbulos arremessados. Funesto foi o meu reinado e cheia de guerras nas fronteiras longínquas a minha paz imperial no meu palácio. Próximo sempre o ruído indeciso das festas afastadas; procissões sempre para ir passar por sob as minhas janelas; mas nem peixes de ouro encarnado nas minhas piscinas, nem pomos entre as verduras paradas do meu pomar; nem mesmo, pobres choupanas onde os outros são felizes, o fumo de chaminés de além de árvores adormecem com baladas de simplicidade o mistério congénito da minha consciência de mim.	ALGAS OSTENSIVO RIOS MEU BOIAR SÓ NAUFRÁGIOS APENAS ISSO VELAR VELAR MASTROS TRONOS VÉUS VELAR IR PERDER PARTIR ABATER COMO QUE CHÃO TURÍBULOS SOMBRAS VELAR NÓS FIAR ERGUER ARREMESSAR FUNESTO MEU MEU PAZ REINADO CHEIA FRONTEIRAS LONGÍNQUAS PALÁCIO IMPERIAL MEU ELE IR SEMPRE PRÓXIMO INDECISO RUÍDO FESTA MULHER PROCISSÃO MEU SEMPRE JANELAS AFASTAR PASSADO MAS NEM PEIXES OURO PISCINAS MEU ENCARNAR NEM VERDURAS POMAR MEU NÓS PÔR PARAR NEM MESMO CONGÉNITO POBRES OUTROS FUMO ÁRVORES MISTÉRIO CHAMINÉS MEU EU CHOUPANAS ONDE FELIZES BALADAS CONSCIÊNCIA EU ADORMECER SIMPLICIDADE
PSIQUETIPIA (OU PSICOTIPIA)	PSIQUETIPIA OU PSICOTIPIA
Símbolos. Tudo símbolos... 	SÍMBOLOS TUDO SÍMBOLOS
Se calhar, tudo é símbolos... 	SE CALHAR TUDO SÍMBOLOS
Serás tu um símbolo também?	{TAMBÉM TU SÍMBOLO}(q)
Olho, desterrado de ti, as tuas mãos brancas 	OLHO TI MÃOS BRANCAS TEU DESTERRAR
Postas, com boas maneiras inglesas, sobre a toalha da mesa, 	BOM INGLESAS MANEIRAS TOALHA MESA PÔR
Pessoas independentes de ti... 	PESSOA INDEPENDENTES TI
Olho-as: também serão símbolos? 	{TAMBÉM OLHAR AS SÍMBOLOS}(q)
Então todo o mundo é símbolo e magia? 	{ENTÃO TODO O MUNDO MAGIA SÍMBOLO}(q)
Se calhar é... 	SE CALHAR
E porque não há-de ser?	ELE 1 NÃO PORQUE (NÃO)
Símbolos...	SÍMBOLOS
Estou cansado de pensar...	CANSAR PENSAR
Ergo finalmente os olhos para os teus olhos que me olham.	FINAL OLHO TEU EU ERGUER OLHAR
Sorris, sabendo bem em que eu estava pensando...	BEM TU SORRIR EU PENSAR SABER
Meu Deus! e não sabes...	DEUS MEU TU NÃO_SABER {NÃO}(headshake)
Eu pensava nos símbolos...	EU SÍMBOLOS PENSAR
Respondo fielmente à tua conversa por cima da mesa...	CONVERSA MESA CIMA TEU EU RESPONDER
Sim, 	SIM
 Eu sei...	EU SABER
Sim, eu sei...	SIM EU SABER
É o mal dos símbolos, 	MAL SÍMBOLOS
Conversa perfeitamente natural... Mas os símbolos?	{PERFEITO SÍMBOLOS CONVERSA NATURAL MAS}(q)
Não tiro os olhos de tuas mãos... Quem são elas?	OLHO TEU ELAS TIRAR NÃO QUEM (NÃO)
Meu Deus! Os símbolos... Os símbolos...	DEUS MEU SÍMBOLOS SÍMBOLOS
Tinhas um pente espanhol	ESPANHOL PENTE TU TER
Tinhas um pente espanhol	ESPANHOL PENTE TU TER
No cabelo português,	PORTUGUÊS CABELO
Mas quando te olhava o sol,	MAS QUANDO TU OLHAR
Eras só quem Deus te fez.	SÓ DEUS TU QUEM FAZER
Aqui onde se espera	AQUI ONDE ESPERAR
— Sossego, só sossego —	SÓ SOSSEGO
Isso que outrora era,	OUTRORA ISSO
Aqui onde, dormindo,	AQUI ONDE DORMIR
— Sossego, só sossego —	SÓ SOSSEGO
Se sente a noite vindo,	NOITE VIR ELE SENTIR
E nada importaria	NADA IMPORTAR
— Sossego, só sossego —	SÓ SOSSEGO
Que fosse antes o dia,	ANTES DIA EU FOSSAR
Aqui, aqui estarei	AQUI AQUI
— Sossego, só sossego —	SÓ SOSSEGO
Como no exílio um rei,	COMO REI EXÍLIO
Gozando da ventura	VENTURA GOZAR
— Sossego, só sossego —	SÓ SOSSEGO
De não ter a amargura	AMARGURA NÃO_TER {NÃO}(headshake)
De reinar, mas guardando	REINAR MAS GUARDAR
— Sossego, só sossego —	SÓ SOSSEGO
O nome venerando...	NOME VENERANDO
Que mais quer quem descansa	MAIS QUER QUEM DESCANSAR
— Sossego, só sossego —	SÓ SOSSEGO
Da dor e da esperança,	DOR ESPERANÇA
Que ter a negação	NEGAÇÃO TER
— Sossego, só sossego —	SÓ SOSSEGO
De todo o coração?	{TODO CORAÇÃO}(q)
Já estou tranquilo. Já não espero nada.	JÁ TRANQUILO JÁ NADA EU ESPERAR (NÃO)
Já sobre meu vazio coração	JÁ MEU VAZIO CORAÇÃO
Desceu a inconsciência abençoada	INCONSCIÊNCIA ELE DESCER ABENÇOAR
Primeiro Fausto — Fausto	PRIMEIRO FAUSTO FAUSTO
Segundo Fausto — Adão	FAUSTO ADÃO
Terceiro Fausto — Lusbel	TERCEIRO FAUSTO LUSBEL
D. Sebastião	D. SEBASTIÃO
Ligeia (poema dramático)	LIGEIA DRAMÁTICO POEMA
Trilogia dos Gigantes: Briareu	TRILOGIA DOS GIGANTES BRIAREU
Typhon	TYPHON
Livor	LIVOR
Prometheus Revinctus (E)	PROMETHEUS REVINCTUS
The Duke of Parma (E)	THE DUKE OF PARMA
The Ship of Fools (E)	THE SHIP OF FOOLS
Alberto Caeiro - 1 vol.	ALBERTO CAEIRO 1 MULHER VOL.
Ricardo Reis - 1 ou 2 vol.	RICARDO REIS 1 OU 2 MULHER VOL.
Álvaro de Campos - 1 vol.	ÁLVARO CAMPOS 1 MULHER VOL.
Contra a Democracia	DEMOCRACIA
Itinerário (livros vários)	VÁRIOS ITINERÁRIO LIVRO
English Poems (E)	ENGLISH POEMS
Sociologia Política	SOCIOLOGIA POLÍTICA
Auto das Bacantes	AUTO DAS BACANTES
Auto de Orfeu	AUTO ORFEU
Quaresma, Decifrador	QUARESMA DECIFRADOR
Marcos Alves	MARCOS ALVES
Contos para Metafísicos	CONTOS METAFÍSICOS
Cinco Diálogos sobre a Tirania	0 DIÁLOGOS TIRANIA
Legendas	LEGENDAS
Notas e Prefácios	NOTAS PREFÁCIOS
Impermanence	IMPERMANENCE
English Sonets (in books)	ENGLISH SONETS BOOKS
Bernardo Soares (contos)	BERNARDO SOARES CONTOS
Na Farmácia do Evaristo	FARMÁCIA DO EVARISTO
Teatro Estático (series)	TEATRO ESTÁTICO SERIAR
Aristography (and translated adaptations)	ARISTOGRAPHY AND TRANSLATED ADAPTATIONS
Telegrapic Code	TELEGRAPIC CODE
O MAJOR	MAJOR
Nada há que tão intimamente revele, que tão completamente interprete a substância do meu infortúnio nato como o tipo de devaneio que, na verdade mais acarinho, o bálsamo que com mais íntima frequência escolho para a minha angústia de existir. O resumo da essência do que desejo é só isto: dormir a vida. Quero de mais à vida, para que a possa desejar ida; quero de mais a não viver para ter sobre a vida um anseio demasiado importuno.	TÃO INTIMAMENTE TÃO COMPLETAMENTE MAIS NADA NATO MEU MEU REVELIR MAIS FREQUÊNCIA BÁLSAMO MAIS ESCOLHO ANGÚSTIA HAVER INTERPRETAR ACARINHAR EXISTIR SÓ DO QUE DESEJO RESUMO ELE DORMIR VIDA ESSÊNCIA MAIS A VIDA IMPORTUNO IMPORTUNO IMPORTUNO IMPORTUNO IMPORTUNO IDA VIDA ANSEIO QUERER DESEJAR QUERER PODER (NÃO)
Assim, é este, que vou deixar escrito, o melhor dos meus sonhos preferidos. À noite, às vezes, com a casa quieta, porque os donos saíssem ou se calem, fecho as vidraças da minha janela, tapo-as com as pesadas portas; [...] num fato velho, aconchego-me na cadeira profunda, e prendo-me no sonho de que sou um major reformado num hotel de província, à hora de depois de jantar, quando ele seja, com um outro mais sóbrio, o conviva lento que ficou sem razão.	ASSIM ESTE MEU ESCREVER MELHOR SONHOS ESCREVER DEIXAR PREFERIR NOITE PORQUE DONOS CASA SAIR OU MEU AS PROFUNDO PROFUNDO PROFUNDO PORTAS JANELA FATO PROFUNDO CADEIRA PROFUNDO TAPAR PESAR ACONCHEGAR FECHAR CALAR EU PRENDAR SONHO MAJOR HOTEL PROVÍNCIA REFORMAR DEPOIS JANTAR QUANDO MAIS ELE OUTRO LENTO RAZÃO FICAR
Suponho-me nascido assim. Não me interessa a juventude do major reformado, nem os postos militares por onde subiu até àquele meu anseio. Independente do Tempo e da Vida, o major que me suponho não é posterior a nenhuma vida que tivesse; não tem, nem teve parentes; existe eternamente àquele viver daquele hotel provinciano, cansado já de conversas de anedotas que teve com os parceiros na demora.	ASSIM EU SUPOR NASCER JUVENTUDE EU MAJOR INTERESSAR REFORMAR NEM POR ONDE POSTOS AQUELE MEU ATÉ ANSEIO SUBIR INDEPENDENTE DO TEMPO NENHUM MAJOR POSTERIOR VIDA EU VIDA SUPOR TER NÃO_TER NEM ETERNO JÁ AQUELE PARENTES ANEDOTAS PARCEIROS DEMORA TER EXISTIR CANSAR TER {NÃO}(headshake)
MAGNIFICAT	MAGNIFICAT
Quando é que passará esta noite interna, o universo, 	QUANDO INTERNO ESTE NOITE UNIVERSO PASSADO
E eu, a minha alma, terei o meu dia? 	{EU ALMA MEU DIA MEU TER}(q)
Quando é que despertarei de estar acordado? 	DESPERTAR ACORDAR QUANDO (NÃO)
Não sei. O sol brilha alto, 	EU NÃO_SABER ALTO ELE BRILHAR {NÃO}(headshake)
Impossível de fitar. 	IMPOSSÍVEL FITAR
As estrelas pestanejam frio, 	ESTRELAS FRIO PESTANEJAR
Impossíveis de contar. 	IMPOSSÍVEIS CONTAR
O coração pulsa alheio, 	CORAÇÃO ALHEIO PULSAR
Impossível de escutar. 	IMPOSSÍVEL ESCUTAR
Quando é que passará este drama sem teatro, 	QUANDO ESTE DRAMA TEATRO PASSADO
Ou este teatro sem drama, 	OU ESTE TEATRO DRAMA
E recolherei a casa? 	{CASA EU RECOLHER}(q)
Onde? Como? Quando? 	ONDE COMO QUANDO
Gato que me fitas com olhos de vida, quem tens lá no fundo? 	LÁ GATO FUNDO EU OLHO VIDA TER FITAR QUEM (NÃO)
É esse! É esse! 	ESSE ESSE
Esse mandará como Josué parar o sol e eu acordarei; 	ESSE PARAR JOSUÉ MANDAR EU ACORDAR
E então será dia. 	ENTÃO DIA
Sorri, dormindo, minha alma! 	ALMA MEU EU SORRIR DORMIR
Sorri, minha alma, será dia!	EU SORRIR ALMA DIA MEU
Boca de riso escarlate/E de sorriso de rir...	ESCARLATE BOCA E RIR RISO SORRISO
Boca de riso escarlate	BOCA ESCARLATE RISO
E de sorriso de rir...	SORRISO RIR
Meu coração bate, bate,	CORAÇÃO BATE BATE MEU
Bate de te ver e ouvir.	ELE BATER TU VER OUVIR
Redemoinha o vento,	VENTO ELE REDEMOINHAR
Anda à roda o ar.	ANDA RODA AR
Vai meu pensamento	PENSAMENTO MEU ELE IR
Comigo a sonhar.	COMIGO SONHAR
Vai saber na altura	ALTURA SABER
Como no arvoredo	COMO ARVOREDO
Se sente a frescura	FRESCURA ELE SENTIR
Passar alta a medo.	ALTA MEDO PASSADO
Vai saber de eu ser	EU SABER
Aquilo que eu quis	AQUILO EU QUERER
Quando ouvi dizer	QUANDO DIZER EU OUVIR
O que o vento diz.	O VENTO DIZER
Desce a névoa da montanha,	NÉVOA MONTANHA ELE DESCER
Desce ou nasce ou não sei quê...	ELE DESCER OU ELE NASCER OU QUÊ EU NÃO_SABER {NÃO}(headshake)
Minha alma é a tudo estranha,	MEU ALMA TUDO MULHER ESTRANHO
Quando vê, vê que não vê.	QUANDO ELE VER VER VER (NÃO)
Mais vale a névoa que a vida...	VIDA NÉVOA MAIS ELE VALER
Desce, ou sobe: enfim, existe.	ELE DESCER OU ENFIM ELE SUBIR EXISTIR
E eu não sei em que consiste	EU CONSISTIR NÃO_SABER {NÃO}(headshake)
Ter a emoção por vivida,	VIVER EMOÇÃO TER
Edições da Cosmópolis:	EDIÇÕES DA COSMÓPOLIS
Athena — Cadernos de Reconstrução Pagã — dirigidos por António Mora.	ATHENA CADERNOS RECONSTRUÇÃO PAGÃ ANTÓNIO MORA DIRIGIR
Athena — Cahiers de Reconstruction Paienne. Directeur: António Mora. Edition Française,	ATHENA CAHIERS RECONSTRUCTION PAIENNE DIRECTEUR EDITION FRANÇAISE
traduite par Claude Pasteur.	PAR CLAUPASTEUR TRADUITE
Athena — A contribution to Pagan Reconstruction — Edited by António Mora. English Edition,	ATHENA A CONTRIBUTION O PAGAN RECONSTRUCTION TU BY EDITED ENGLISH EDITION
translated from Portuguese by James L. Mason.	PORTUGUESE FROM JAMES L. MASON BY
Arco de Triunfo — Poemas, com um Prefácio-Manifesto — Álvaro de Campos.	ARCO TRIUNFO POEMAS PREFÁCIO MANIFESTO ÁLVARO CAMPOS
Livro do Desassossego —	LIVRO DO DESASSOSSEGO
Escrito por Vicente Guedes, e publicado por Fernando Pessoa.	ESCRITO POR VICENTE GUEDES FERNANDO PESSOA PUBLICAR
Teatro Estático —	TEATRO ESTÁTICO
Fernando Pessoa.	FERNANDO PESSOA
Episódios —	EPISÓDIOS
Versos — Fernando Pessoa.	VERSOS FERNANDO PESSOA
Talvez edições de livros de:	TALVEZ MULHER EDIÇÃO LIVRO
Ser major reformado parece-me uma coisa ideal. É pena não se poder ter sido eternamente apenas major reformado.	IDEAL MAJOR COISA PARECER EU REFORMAR ETERNO PENA APENAS PODER MAJOR REFORMAR (NÃO)
A sede de ser completo deixou-me neste estado de mágoa inútil.	INÚTIL SEDE ESTE COMPLETO DEIXAR EU ESTADO MÁGOA
A futilidade trágica da vida.	FUTILIDADE TRÁGICO VIDA
A minha curiosidade irmã das cotovias.	CURIOSIDADE IRMÃO COTOVIAS MEU
A angústia pérfida dos poentes, tímida enxárcia nas auroras.	TÍMIDO ANGÚSTIA PÉRFIDO AURORA ENXÁRCIA
Sentemo-nos aqui. De aqui vê-se mais céu. É consoladora a expansão enorme desta altura estrelada. Dói a vida menos ao vê-la; passa por nossa face quente da vida o aceno pequeno dum leque leve.	AQUI NÓS SENTAR AQUI CÉU MAIS ELE VER CONSOLADOR EXPANSÃO ESTE ALTURA ESTRELAR QUENTE PEQUENO ACENO MENOS VER FACE VIDA LEQUE LEVE VIDA NOSSO PASSADO
PECADO ORIGINAL	PECADO ORIGINAL
Ah, quem escreverá a história do que poderia ter sido? 	{AH ESCREVER HISTÓRIA DO QUE NÃO ESTAR CERTO PODER QUEM}(q)
Será essa, se alguém a escrever, 	ESSA ALGUÉM ESCREVER
A verdadeira história da humanidade.	VERDADEIRO HISTÓRIA HUMANIDADE
O que há é só o mundo verdadeiro, não é nós, só o mundo; 	MUNDO MUNDO O NÓS HAVER (NÃO)
O que não há somos nós, e a verdade está aí.	O NÓS HAVER NÃO AÍ VERDADE (NÃO)
Sou quem falhei ser. 	QUEM FALHAR
Somos todos quem nos supusemos. 	TODO NÓS SUPOR
A nossa realidade é o que não conseguimos nunca.	O REALIDADE NOSSO NUNCA CONSEGUIR {NÃO}(headshake)
Medito, a cabeça curvada contra as mãos sobrepostas 	CABEÇA MÃOS SOBREPOR EU MEDITAR CURVAR
Sobre o parapeito alto da janela de sacada, 	JANELA PARAPEITO ALTO SACADA
Sentado de lado numa cadeira, depois de jantar.	LADO CADEIRA SENTAR DEPOIS JANTAR
Que é da minha realidade, que só tenho a vida? 	{SÓ REALIDADE MEU VIDA TER}(q)
Que é de mim, que sou só quem existo?	{QUE EU EXISTIR QUEM}(q)
Quantos Césares fui!	QUANTOS CÉSARES IR
Na alma, e com alguma verdade; 	ALGUM ALMA VERDADE
Na imaginação, e com alguma justiça; 	ALGUM IMAGINAÇÃO JUSTIÇA
Na inteligência, e com alguma razão — 	ALGUM INTELIGÊNCIA RAZÃO
Meu Deus! Meu Deus! Meu Deus! 	DEUS MEU DEUS MEU DEUS MEU
Quantos Césares fui! 	QUANTOS CÉSARES IR
Quantos Césares fui! 	QUANTOS CÉSARES IR
Quantos Césares fui!	QUANTOS CÉSARES IR
Momento imperceptível,	MOMENTO IMPERCEPTÍVEL
Que coisa foste, que há	COISA IR
Já em mim qualquer coisa	JÁ QUALQUER COISA EU
Que nunca passará?	{ELE PASSADO NUNCA NÃO}(q)
Sei que, passados anos,	PASSADO ANOS EU SABER
O que isto é lembrarei,	ISTO É O LEMBRAR
Sem saber já o que era,	JÁ O SABER
Que até já o não sei.	ATÉ JÁ EU NÃO_SABER {NÃO}(headshake)
Fica dele um ficar	DELE FICAR ELE FICAR
Que será suave ainda	AINDA SUAVE
Quando eu o não lembrar.	QUANDO EU O LEMBRAR (NÃO)
Já não me importo	JÁ EU IMPORTAR (NÃO)
Até com o que amo ou creio amar.	O AMAR OU AMAR EU CRER
Sou um navio que chegou a um porto	NAVIO PORTO CHEGAR
E cujo movimento é ali estar.	ALI MOVIMENTO
Nada me resta	NADA EU RESTAR
Do que quis ou achei.	DO QUE ELE QUERER OU EU ACHAR
Cheguei da festa	FESTA EU CHEGAR
Como fui para lá ou ainda irei	LÁ COMO EU IR OU AINDA EU IR
Indiferente	INDIFERENTE
A quem sou ou suponho que mal sou,	QUEM OU MAL SUPOR
Fito a gente	GENTE EU FITAR
Que me rodeia e sempre rodeou,	EU RODEAR SEMPRE ELE RODEAR
Com um olhar	OLHAR
Que, sem o poder ver,	PODER VER
Sei [?] que é sem ar	EU SABER AR
De olhar a valer.	VALER OLHAR
E só me não cansa	SÓ EU CANSAR (NÃO)
O que a brisa me traz	O BRISA EU TRAZER
De súbita mudança	SÚBITO
No que nada me faz.	NADA EU FAZER
Bernardo Soares	BERNARDO SOARES
Rua dos Douradores	RUA DOS DOURADORES
Os trechos vários (Sinfonia de uma Noite Inquieta, Marcha Fúnebre, Na Floresta do Alheamento)	VÁRIOS SINFONIA UMA NOITE INQUIETA TRECHOS MARCHA FÚNEBRE NA FLORESTA DO ALHEAMENTO
Experiências de Ultra-Sensação:	EXPERIÊNCIAS ULTRA SENSAÇÃO
1. Chuva Oblíqua	1 CHUVA OBLÍQUA
2. Passos da Cruz	2 PASSOS DA CRUZ
3. Os poemas de absorção musical que incluem Rio entre Sonhos	3 POEMAS RIO ABSORÇÃO INCLUIR
Soares não é poeta. Na sua poesia é imperfeito e sem a continuidade que tem na prosa; os seus versos são o lixo da sua prosa, aparas do que escreve a valer.	TU SOAR POETA IMPERFEITO POESIA SEU SEU VERSOS PROSA CONTINUIDADE LIXO PROSA SEU DO QUE ESCREVER VALER TER NÃO ESTAR CERTO (NÃO)
DACTILOGRAFIA	DACTILOGRAFIA
Traço sozinho, no meu cubículo de engenheiro, o plano, 	TRAÇO SÓ CUBÍCULO ENGENHEIRO PLANO MEU
Firmo o projecto, aqui isolado, 	AQUI PROJECTO EU FIRMAR ISOLAR
Remoto até de quem eu sou.	ATÉ REMOTO EU
Ao lado, acompanhamento banalmente sinistro, 	BANAL LADO SINISTRO ACOMPANHAMENTO
O tic-tac estalado das máquinas de escrever. 	TIC TAC MÁQUINAS ESTALAR ESCREVER
Que náusea da vida! 	NÁUSEA VIDA
Que abjecção esta regularidade! 	ESTE ABJECÇÃO REGULARIDADE
Que sono este ser assim!	ASSIM SONO ESTE NÃO ESTAR CERTO
Outrora, quando fui outro, eram castelos e cavaleiros 	OUTRORA QUANDO OUTRO CASTELOS CAVALEIROS IR
(Ilustrações, talvez, de qualquer livro de infância), 	TALVEZ QUALQUER ILUSTRAÇÕES LIVRO INFÂNCIA
Outrora, quando fui verdadeiro ao meu sonho, 	OUTRORA QUANDO VERDADEIRO SONHO MEU EU IR
Eram grandes paisagens do Norte, explícitas de neve, 	NORTE MULHER PAISAGEM NEVE EXPLÍCITAS
Eram grandes palmares do Sul, opulentos de verdes.	SUL PALMARES VERDES OPULENTOS
Outrora.	OUTRORA
Ao lado, acompanhamento banalmente sinistro. 	BANAL LADO SINISTRO ACOMPANHAMENTO
O tic-tac estalado das máquinas de escrever.	TIC TAC MÁQUINAS ESTALAR ESCREVER
Temos todos duas vidas: 	TODO VIDA 2 NÓS TER
A verdadeira, que é a que sonhamos na infância, 	VERDADEIRO INFÂNCIA SONHAR
E que continuamos sonhando, adultos num substrato de névoa; 	ADULTOS SUBSTRATO NÉVOA SONHAR CONTINUAR
A falsa, que é a que vivemos em convivência com outros, 	FALSA OUTROS CONVIVÊNCIA VIVER
Que é a prática, a útil, 	PRÁTICA ÚTIL
Aquela em que acabam por nos meter num caixão.	NÓS AQUELA CAIXÃO METER ACABAR
Na outra não há caixões, nem mortes,	OUTRA NEM CAIXÕES MORTES HAVER (NÃO)
Há só ilustrações de infância:	SÓ MULHER ILUSTRAÇÃO INFÂNCIA HAVER
Grandes livros coloridos, para ver mas não ler;	GRANDE LIVRO COLORIR MAS LER (NÃO)
Grandes páginas de cores para recordar mais tarde.	GRANDE PÁGINAS MULHER COR TARDE MAIS RECORDAR
Na outra somos nós,	NÓS
Na outra vivemos;	OUTRA VIVER
Nesta morremos, que é o que viver quer dizer;	QUER DIZER QUE ESTE NÓS MORRER VIVER
Neste momento, pela náusea, vivo na outra...	MOMENTO ESTE NÁUSEA OUTRO VIVAR
Mas ao lado, acompanhamento banalmente sinistro. 	BANAL MAS LADO SINISTRO ACOMPANHAMENTO
Ergue a voz o tic-tac estalado das máquinas de escrever.	VOZ TIC TAC MÁQUINAS ELE ERGUER ESTALAR ESCREVER
XI	XI
A ÚLTIMA NAU	ÚLTIMA NAU
Levando a bordo El-Rei D. Sebastião,	EL REI D. SEBASTIÃO LEVAR
E erguendo, como um nome, alto o pendão	ALTO COMO NOME PENDÃO ERGUER
Do Império,	IMPÉRIO
