Diana através dos ramos	ATRAVÉS DIANA RAMOS
Trazem-me a dúvida, como pó dentro de uma caixa; mas para que me trazem a caixa se ela não tem senão pó?	COMO EU DÚVIDA PÓ CAIXA TRAZER MAS SENÃO CAIXA PÓ EU TRAZER NÃO_TER (NÃO)
Na falta de saber, escrevo; e uso os grandes termos da Verdade	TERMOS ESCREVER USO GRANDE VERDADE SABER
Alheios conforme as exigências da emoção	CONFORME ALHEIOS EXIGÊNCIAS EMOÇÃO
Se a emoção é clara e fatal, falo, naturalmente, dos Deuses, e assim a enquadro numa consciência do mundo múltiplo	SE EMOÇÃO CLARO NATURAL FATAL FALO DEUSES ASSIM A MÚLTIPLO CONSCIÊNCIA MUNDO ENQUADRAR
Se a emoção é profunda, falo, naturalmente, de Deus, e assim a engasto numa consciência una	NATURAL SE EMOÇÃO PROFUNDO FALO DEUS ASSIM A ENGASTAR UNO CONSCIÊNCIA
Se a emoção é um pensamento, falo, naturalmente, do Destino, e assim a encosto à parede.	NATURAL SE EMOÇÃO PENSAMENTO FALO DESTINO ENCOSTO PAREDE
Umas vezes o próprio ritmo da frase exigirá Deus e não Deuses: outras vezes impor-se-ão as duas sílabas de Deuses e mudo verbalmente de universo; outras vezes pesará o contrário, as necessidades de uma rima íntima, um deslocamento do ritmo, um sobressalto de emoção e o politeísmo ou o monoteísmo amolda-se e prefere-se	UM PRÓPRIO RITMO MULHER VEZ FRASE DEUS EXIGIR DEUSES OUTRO 2 MULHER VEZ SÍLABA DEUSES IMPOR VERBAL ÍNTIMO MUDAR OUTRAS UNIVERSO MULHER VEZ CONTRÁRIO NECESSIDADES RITMO DESLOCAMENTO SOBRESSALTO EMOÇÃO PESAR POLITEÍSMO OU MONOTEÍSMO AMOLDAR ELE PREFERIR (NÃO)
Os Deuses são uma função do estilo.	DEUSES FUNÇÃO ESTILO
Sob a leve tutela	LEVE TUTELA
De deuses descuidosos,	DEUSES DESCUIDOSOS
Quero gastar as concedidas horas	CONCEDER HORAS GASTAR EU QUERER
Desta fadada vida.	ESTE VIDA FADAR
Nada podendo contra	NADA PODER
O ser que me fizeram,	EU FAZER
Desejo ao menos que me haja o Fado	AO MENOS DESEJO EU FADO HAVER
Dado a paz por destino.	PAZ DESTINO DAR
Da verdade não quero	VERDADE
Mais que a vida; que os deuses	QUE VIDA DEUSES MAIS
Dão vida e não verdade, nem talvez	TALVEZ VERDADE NEM VIDA ELES DAR (NÃO)
Saibam qual a verdade.	QUAL VERDADE SABER
Não sei de quem recordo meu passado	QUEM RECORDO PASSADO MEU NÃO_SABER {NÃO}(headshake)
Que outrem fui quando o fui, nem me conheço	OUTREM IR QUANDO O IR NEM EU CONHECER
Como sentindo com minha alma aquela	COMO MEU AQUELE ALMA SENTIR
Alma que a sentir lembro.	ALMO EU LEMBRAR SENTIR
De dia a outro nos desamparamos.	NÓS DIA OUTRO DESAMPARAR
Nada de verdadeiro a nós nos une —	NADA VERDADEIRO NÓS UNIR
Somos quem somos, e quem fomos foi	IR IR
Coisa vista por dentro.	DENTRO COISA VER
CADERNOS DE REACÇÃO PAGÃ:	CADERNOS REACÇÃO PAGÃ
Fito-me frente a frente.	FRENTE A FRENTE EU FITAR EU
Conheço que estou louco.	EU CONHECER LOUCO
Não me sinto doente.	DOENTE EU SENTIR (NÃO)
Fito-me frente a frente.	FRENTE A FRENTE EU FITAR EU
Evoco a minha vida.	VIDA MEU EU EVOCAR
Fantasma, quem és tu?	FANTASMA TU QUEM (NÃO)
Uma coisa erguida.	COISA ERGUER
Uma força traída.	FORÇA TRAIR
Neste momento claro,	ESTE CLARO MOMENTO
Abdique a alma bem!	BEM ALMA ELE ABDICAR
Saber não ser é raro.	SABER RARO (NÃO)
Quero ser raro e claro.	RARO CLARO
Que me pesa que ninguém leia o que escrevo	QUE NINGUÉM EU O LER PESAR ESCREVER
Escrevo-o para me distrair de viver, e publico-o porque o jogo tem essa regra	O EU ESCREVER VIVER DISTRAIR O PORQUE JOGO ESSE TER REGRA PUBLICAR
Se amanhã se perdessem todos os meus escritos, teria pena, mas, creio bem, não com pena violenta e louca como seria de supor, pois que em tudo isso ia toda a minha vida	AMANHÃ PENA CRER PENA TODO ESCREVER PERDER TER MAS BEM VIOLENTAR MAS COMO MULHER LOUCO MEU TUDO ISSO VIDA TODA A SUPOR (NÃO)
Não é outra, pois, que a mãe, ante o filho [...]	POIS MÃE OUTRA FILHO (NÃO)
A grande terra que serve os mortos serviria, menos maternalmente, esses papéis	MATERNAL GRANDE TERRA MORTOS ESSE PAPÉIS MENOS SERVIR SERVIR
Tudo não importa e creio bem que houve quem visse a vida sem uma grande paciência para essa criança saudável e com grande desejo do sossego de quando ela, enfim, se tenha ido deitar.	TUDO IMPORTAR NÃO BEM ESSE HAVER VER VIDA GRANDE PACIÊNCIA CRIANÇA SAUDÁVEL CRER GRANDE DESEJO SOSSEGO QUANDO ENFIM DEITAR (NÃO)
PAGANISMO SUPERIOR	PAGANISMO SUPERIOR
A verdade é um erro.	VERDADE ERRO
A verdade é um critério necessário à conservação da	VERDADE CRITÉRIO NECESSÁRIO CONSERVAÇÃO
vida	VIDA
É verdadeira uma opinião, ou uma atitude, na proporção em que torna possível ou fácil uma adaptação ao meio.	OPINIÃO VERDADEIRO OU ATITUDE POSSÍVEL PROPORÇÃO TORNAR
A verdade relativa:	VERDADE RELATIVO
1) Para todos os seres com os mesmos sentidos que nós, completa ou incompletamente;	INCOMPLETO NÓS TODO SENTIDO OU COMPLETAR
2) Para a humanidade em geral;	2 HUMANIDADE PARA GERAL
3) Para aquela parte da humanidade a que nós pertencemos.	3 AQUELE PARTE NÓS HUMANIDADE PERTENCER
A verdade chamada metafísica, isto é, o universo tal qual directamente no-lo revela o conjunto dos nossos sentidos.	ISTO É VERDADE NO LO UNIVERSO NOSSO DIRECTO CONJUNTO SENTIDOS REVELAR NOME
A verdade de valores, que distingue a actividade intelectual civilizada da não civilizada	VERDADE VALORES ACTIVIDADE DISTINGUIR CIVILIZAR CIVILIZAR (NÃO)
(Ou a verdade criativa?)	OU VERDADE CRIATIVO
Houve, por isso, 3 momentos de renovamento desde que caducou o paganismo puro e simples:	DESQUE PURO MOMENTO HAVER 3 ISSO RENOVAMENTO PAGANISMO SIMPLES CADUCAR
1) A subjectivação pelo simbólico	A 1 SIMBÓLICO SUBJECTIVAÇÃO
(Platão)?	{DT(P-L-A-T-Ã-O)}(q)
2) A subjectivação pela atenção sintética aos sentimentos como sentimentos; como sujeito (Renascença — vide sentimentalistas e Shakespeare).	A SUBJECTIVAÇÃO RENASCENÇA 2 VIDE ATENÇÃO SINTÉTICO SENTIMENTO COMO E SHAKESPEARE SENTIMENTALISTA E
3) A subjectivação pela atenção analítica aos sentimentos (Romantismo).	ROMANTISMO A 3 SUBJECTIVAÇÃO SENTIMENTO ANALÍTICO
Estando tudo mais ou menos confundido, sabe-se o elemento característico, dos outros períodos?	{MAIS OU MENOS CARACTERÍSTICO TUDO CONFUNDIR OUTRO ELEMENTO SABER}(q)
Cuidas tu, louco Flaco, que apertando	DT(F-L-A-C-O) LOUCO CUIDAR APERTAR
Os teus estéreis, trabalhosos dias	TEUS ESTÉREIS TRABALHOSOS DIA
Em feixes de hirta lenha,	FEIXES HIRTO LENHA
Cumpres a tua vida?	{VIDA TEU TU CUMPRIR}(q)
A tua lenha é só peso que levas	SÓ PESO TEU LEVAR
Para onde não tens fogo que aquecer-te,	TER AQUECER AINDA_{NÃO}(headshake)
Nem levam peso ao colo	NEM PESO COLO ELES LEVAR
As sombras que seremos.	SOMBRAS
Aprende calma com o céu havido	CALMO CÉU ELE APRENDER HAVER
E com o pranto a ter contínuo curso.	PRANTO CONTÍNUO CURSO TER
Não sigas a clepsidra	CLEPSIDRA TU SEGUIR (NÃO)
Que conta a hora dos outros.	OUTROS HORA CONTAR
Talvez que seja a brisa	TALVEZ BRISA
Que ronda o fim da estrada,	FIM ESTRADA RONDAR
Talvez seja o silêncio,	TALVEZ SILÊNCIO
Talvez não seja nada...	NADA AINDA_{NÃO}(headshake)
Que coisa é que na tarde	COISA TARDE
Me entristece sem ser?	{EU NÃO ESTAR CERTO ENTRISTECER}(q)
Sinto como se houvesse	COMO SE EU SENTIR
Um mal que acontecer.	MAL ACONTECER
Mas sinto o mal que vem	MAS MAL SENTIR VIR
Como se já passasse...	JÁ COMO SE ELE PASSADO
Que coisa é que faz isto	COISA ELE FAZER
Sentir-se e recordar-se?	{ELE SENTIR ELE RECORDAR}(q)
Não consentem os deuses mais que a vida.	VIDA DEUSES MAIS ELES CONSENTIR (NÃO)
Por isso, Lídia, duradouramente	DURADOURO ISSO DT(L-Í-D-I-A)
Façamos-lhe a vontade	LHE VONTADE FAZER
Ao sol e entre as flores.	MULHER FLOR
Camaleões pousados na Natureza	CAMALEÕES NATUREZA POUSAR
Tomemos sua calma e alegria	CALMA ALEGRIA SEU NÓS TOMAR
Por cor da nossa vida,	COR VIDA NOSSO
Por um jeito do corpo.	JEITO CORPO
Como vidros às luzes transparentes	COMO VIDROS MULHER LUZ TRANSPARENTES
E deixando cair a chuva triste,	CHUVA TRISTE CAIR DEIXAR
Só mornos ao sol quente,	SÓ MORNOS QUENTE
E reflectindo um pouco.	UM POUCO REFLECTIR
Quem raciocina com intensidade e violência tem que expressar com descongestionamento	QUEM INTENSIDADE RACIOCINAR VIOLÊNCIA DESCONGESTIONAMENTO EXPRESSAR
Rir não é não ter razão	RIR RAZÃO NÃO_TER {NÃO}(headshake)
Não há relação entre a solenidade e a verdade	SOLENIDADE RELAÇÃO VERDADE HAVER (NÃO)
Deixemos a seriedade aos que têm ideais em que perdem tempo e jeito	SERIEDADE IDEAIS TEMPO JEITO DEIXAR TER PERDER
Pensemos, e acabemos de pensar com uma gargalhada.	NÓS PENSAR GARGALHADA PENSAR NÓS ACABAR
A dor do mundo é grande	DOR MUNDO GRANDE
Talvez seja	TALVEZ
Como não há metro para ela, não sabemos	COMO METRO NÓS NÃO_SABER HAVER {NÃO}(headshake)
Mas, ainda que seja grande, curar-se-á aumentando-a com a nossa?	{AINDA QUE MAS GRANDE ELE CURAR NOSSO AUMENTAR}(q)
Pensa a sério mas não com sério	MAS SÉRIO SÉRIO ELE PENSAR (NÃO)
Pensa profundamente, mas não às escuras	PROFUNDO MAS ESCURAS ELE PENSAR (NÃO)
Quer fortemente, mas não com as sobrancelhas.	FORTE MAS SOBRANCELHAS ELE QUERER (NÃO)
Sinceros	SINCEROS
Quantos gramas de verdade é que a vossa sinceridade pesa?	PESA GRAMAS VERDADE SINCERIDADE VOSSO QUANTOS (NÃO)
Quem pensa, ri; só não ri quem só faz cara que pensa.	SÓ QUEM RIR RIR FAZER CARA PENSAR PENSAR SÓ {NÃO}(headshake)
Ri, bruto!	BRUTO ELE RIR
O mar jaz	MAR JAZER
Gemem em segredo os ventos	SEGREDO VENTOS ELES GEMER
Em Éolo cativos,	CATIVOS ÉOLO
Apenas com as pontas do tridente	PONTAS TRIDENTE APENAS
Franze as águas Neptuno,	NEPTUNO ÁGUAS FRANZIR
E a praia é alva e cheia de pequenos	PRAIA ALVO CHEIO PEQUENO
Brilhos sob o sol claro.	BRILHOS CLARO
Eu quisera, Neera, que o momento,	EU NEERA MOMENTO QUERER
Que ora vemos, tivesse	ORA ELE TER TER VER
O sentido preciso de uma frase	SENTIDO PRECISO FRASE
Visível nalgum livro.	ALGUM VISÍVEL LIVRO
Assim verias que certeza a minha	ASSIM CERTEZA MEU VER
Quando sem te olhar digo	QUANDO TU OLHAR DIZER
Que as cousas são o diálogo que os deuses	COUSAS DIÁLOGO DEUSES
Brincam tendo connosco.	TER CONNOSCO TER BRINCAR
Se esta breve ciência te coubesse,	SE BREVE CIÊNCIA ESTE TU CABER
Nunca mais julgarias	MAIS TU JULGAR NUNCA NÃO
Ou solene ou ligeira a clara vida,	OU VIDA LIGEIRO SOLENE CLARO
Mas nem leve nem grave,	MAS NEM LEVE NEM GRAVE
Nem falsa ou certa, mas assim, divina	ASSIM CERTO NEM FALSO DIVINO MAS
E plácida, e mais nada.	PLÁCIDO MAIS NADA
Sumário	SUMÁRIO
1.º número: O Trust das Livrarias.	0 NÚMERO TRUST DAS LIVRARIAS
Apresentação	APRESENTAÇÃO
Origem Met[afísica] do C[onde] de S[amodães] J	ONDE ORIGEM MET S C J AMODÃES
Moura Costa	DT(M-O-U-R-A) DT(C-O-S-T-A)
Vicente Guedes: (Poesias).	DT(V-I-C-E-N-T-E) DT(G-U-E-D-E-S) POESIAS
Obiter Dicta: - (...)	OBITER DICTA
Visão do Manuel Maria.	VISÃO DO DT(M-A-N-U-E-L) DT(M-A-R-I-A)
Artigo político: O Anti-Cristo.	ARTIGO POLÍTICO ANTI CRISTO
Sei bem que não consigo	BEM EU SABER CONSEGUIR (NÃO)
O que não quero ter,	O TER (NÃO)
Que nem até prossigo	NEM ATÉ EU PROSSEGUIR
Na estrada até querer.	ESTRADA QUERER
Sei que não sei da imagem	IMAGEM EU SABER NÃO_SABER {NÃO}(headshake)
Que era o saber que foi	QUE IR SABER
Aquela personagem	AQUELE PERSONAGEM
Do drama que me dói.	DRAMA EU DOER
Sei tudo	TUDO EU SABER
Era presente	PRESENTE
Quando abdiquei de mim...	QUANDO EU ABDICAR
E o que a minha alma sente	O ALMA MEU SENTIR
Ficou nesse jardim.	ESSE JARDIM ELE FICAR
Não pra mim mas pra ti teço as grinaldas	EU MAS TU GRINALDAS TECER
Que de hera e rosas eu na fronte ponho.	HERA FRONTE TU ROSAR EU PÔR
Para mim tece as tuas	TEU EU TECER
Que as minhas eu não vejo.	MEU EU VER (NÃO)
Um para o outro, mancebo, realizemos	0 OUTRO MANCEBO NÓS REALIZAR
A beleza improfícua mas bastante	MAS IMPROFÍCUO BASTANTE
De agradar um ao outro	UM AO OUTRO AGRADAR
Plo prazer dado aos olhos.	PLO PRAZER OLHO DAR
O resto é o fado que nos vai contando	FADO RESTO NÓS CONTAR
Pelo bater do sangue em nossas frontes	SANGUE FRONTES NOSSO BATER
A vida até que chegue	VIDA ELE CHEGAR
A hora do barqueiro.	HORA BARQUEIRO
Se eu pudesse não ter o ser que tenho	SE EU NÃO ESTAR CERTO TER PODER NÃO_TER {NÃO}(headshake)
Seria feliz aqui...	AQUI FELIZ
Que grande sonho	GRANDE SONHO
Ser quem não sabe quem é e sorri!	QUEM EU SORRIR
Mas eu me estranho	MAS EU EU ESTRANHO
Se em sonho me vi	SONHO EU VER
Tal qual no tamanho	TAL TAMANHO
O que nunca vi...	O VER NUNCA NÃO
Ao pé de um adormecer.	ADORMECER
Trago sonho, trago mágoa,	SONHO EU TRAGAR MÁGOA TRAGAR
Trago com que não querer.	TRAGO
Como nada amei nem fiz	COMO NADA EU AMAR NEM EU FAZER
Quero descansar de nada.	NADA DESCANSAR EU QUERER
Amanhã serei feliz	AMANHÃ FELIZ
Se para amanhã há estrada.	AMANHÃ ESTRADA HAVER
Por enquanto, na estalagem	ENQUANTO ESTALAGEM
De não ter cura de mim,	CURA EU NÃO_TER {NÃO}(headshake)
Gozarei só pela aragem	SÓ ARAGEM EU GOZAR
As flores do outro jardim.	OUTRO MULHER FLOR JARDIM
Por enquanto, por enquanto,	ENQUANTO ENQUANTO
Por enquanto não sei quê...	ENQUANTO QUÊ EU NÃO_SABER {NÃO}(headshake)
Pobre alma, choras sem pranto,	POBRE ALMA CHORAS PRANTO
E ouves como quem vê.	COMO OUVIR VER
Deve chamar-se tristeza	TRISTEZA ELE NOME DEVER
Isto que não sei que seja	ELE NÃO_SABER {NÃO}(headshake)
Que me inquieta sem surpresa,	EU SURPRESA INQUIETAR
Saudade que não deseja.	SAUDADE DESEJAR (NÃO)
Sim, tristeza — mas aquela	SIM TRISTEZA MAS AQUELE
Que nasce de conhecer	CONHECER NASCER
Que ao longe está uma estrela	AO LONGE ESTRELA
E ao perto está não a ter.	PERTO A TER (NÃO)
Seja o que for, é o que tenho.	O O IR TER
Tudo mais é tudo só.	SÓ TUDO MAIS TUDO
E eu deixo ir o pó que apanho	EU PÓ IR DEIXAR APANHAR
De entre as mãos ricas de pó.	MÃOS RICAS PÓ
Quem me roubou quem nunca fui e a vida?	VIDA EU ROUBAR IR NUNCA NÃO QUEM (NÃO)
Quem, de dentro de mim, é que a roubou?	A ROUBAR QUEM (NÃO)
Quem ao ser que conheço por quem sou	QUEM QUEM CONHECER
Me trouxe, em estratagemas de descida?	{ESTRATAGEMAS DESCIDA EU TRAZER}(q)
Onde me encontro nada me convida.	ONDE ENCONTRO EU EU NADA CONVIDAR
Onde me eu trouxe nada me chamou.	ONDE EU NADA EU EU TRAZER
Desperto: este lugar em que me estou,	DESPERTO ESTE LUGAR EU
Se é abismo ou cume, onde estão vinda ou ida?	{ABISMO OU CUME ONDE VIR OU IR}(q)
Quem, quando por mim meus passos dados,	MEU QUEM EU PASSOS DADOS
Entre sonhos e errores que me deu	SONHOS ERRORES EU DAR
À súbita visão dos mudos fados?	{FADOS SÚBITO VISÃO MUDOS}(q)
Quem sou, que assim me caminhei sem ser,	ASSIM QUEM EU CAMINHAR
Quem são, que assim me deram aos bocados	ASSIM QUEM EU BOCADOS DAR
À reunião em que acordo e não sou meu?	{REUNIÃO ACORDO MEU}(q)
Onde quer que o arado o seu traço consiga	ONDE TRAÇO ARADO SEU CONSEGUIR QUERER
E onde a fonte, correndo, com a sua água siga	ONDE FONTE SEU ÁGUA SEGUIR CORRER
O caminho que, justo, as calhas lhe darão,	CAMINHO CALHAS JUSTO LHE DAR
Aí, porque há a paz, está meu coração.	AÍ PORQUE PAZ CORAÇÃO MEU
Bem sei que o som do mar vem de além dos outeiros	BEM SOM ALÉM MAR VIR OUTEIROS SABER
E que do seu bom som os ímpetos primeiros	ÍMPETOS BOM SEU PRIMEIRO
Turvam de ser diverso o natural da hora,	NATURAL ELES TURVAR DIVERSO HORA
Quando o campo a não ouve e a solidão a ignora.	QUANDO CAMPO OUVIR NÃO SOLIDÃO IGNORAR (NÃO)
Mas qualquer cousa falsa desce e se insinua	MAS FALSO COUSA QUALQUER DESCER ELE INSINUAR
Nos anos que são vestígios sob a Lua.	ANOS VESTÍGIOS LUA
Azul, ou verde, ou roxo, quando o sol	QUANDO VERDE AZUL ROXO OU
O doura falsamente de vermelho,	FALSO O VERMELHO DOURAR
O mar é áspero [?], casual [?] ou mo(le),	{MAR ÁSPERO CASUAL OU O LE}(q)
É uma vez abismo e outra espelho.	UMA VEZ OUTRO ABISMO ESPELHO
Evoco porque sinto velho	PORQUE VELHO EU SENTIR EVOCAR
O que em mim quereria mais que o mar	QUE O MAIS EU MAR QUERER
Já que nada ali há por desvendar.	ALI JÁ QUE NADA DESVENDAR HAVER
Os grandes capitães e os marinheiros	GRANDE CAPITÃES MARINHEIROS
Com que fizeram a navegação,	NAVEGAÇÃO FAZER
Jazem longínquos, lúgubres parceiros	LÚGUBRES PARCEIROS LONGÍNQUOS ELES JAZER
Do nosso esquecimento e ingratidão.	ESQUECIMENTO INGRATIDÃO NOSSO
Só o mar, às vezes, quando são	SÓ MAR ÀS VEZES QUANDO
Grandes as ondas e é deveras mar	GRANDE ONDAS DEVERAS MAR
Parece incertamente recordar.	INCERTO RECORDAR ELE PARECER
Mas sonho	MAS SONHO
O mar é água, é agua nua,	NU ÁGUA MAR AGUAR
Serva do obscuro ímpeto distante	OBSCURO MULHER SERVO DISTANTE ÍMPETO
Que, como a poesia, vem da lua	COMO POESIA LUA VIR
Que uma vez o abate outra o levanta.	UMA VEZ ABATE OUTRA O LEVANTAR
Mas, por mais que descante	MAIS QUE MAS DESCANTE
Sobre a ignorância natural do mar,	NATURAL IGNORÂNCIA MAR
Pressinto-o, vazante, a murmurar.	VAZANTE O PRESSENTIR MURMURAR
Quem sabe o que é a alma	QUEM O SABER ALMA
Quem conhece	QUEM CONHECER
Que alma há nas coisas que parecem mortas.	ALMA HAVER COISA MATAR HAVER MATAR PARECER
Quanto em terra ou em nada nunca esquece.	QUANTO TERRA OU NADA ELE ESQUECER NUNCA NÃO
Quem sabe se no espaço vácuo há portas?	PORTAS ESPAÇO HAVER SABER QUEM (NÃO)
Ó sonho que me exortas	SONHO Ó EU EXORTAR
A meditar assim a voz do mar,	ASSIM VOZ MAR MEDITAR
Ensina-me a saber-te meditar.	ENSINAR EU MEDITAR SABER
Capitães, contramestres — todos nautas	CAPITÃES TODO NAUTAS
Da descoberta infiel de cada dia ó	Ó CADA INFIEL DIA DESCOBERTA
Acaso vos chamou de ignotas flautas	ACASO FLAUTAS VOS IGNOTAS NOME
A vaga e impossível melodia.	MELODIA VAGA IMPOSSÍVEL
Acaso o vosso ouvido ouvia	ACASO OUVIDO VOSSO ELE OUVIR
Qualquer coisa do mar sem ser o mar	COISA QUALQUER MAR MAR
Sereias só de ouvir e não de achar?	{SÓ SEREIAS OUVIR ACHAR}(q)
Quem atrás de intérminos oceanos	QUEM INTÉRMINOS OCEANOS
Vos chamou à distância como [?] quem	COMO VOS DISTÂNCIA NOME QUEM
Sabe que há nos corações humanos	HAVER HUMANOS CORAÇÕES ELE SABER
Não só uma ânsia natural de bem	BEM ÂNSIA NÃO SÓ NATURAL
Mas, mais vaga, mais subtil também,	MAIS MAS SUBTIL TAMBÉM VAGO MAIS
Uma coisa que quer o som do mar	COISA SOM MAR QUERER
E o estar longe de tudo e não parar.	TUDO PARAR (NÃO)
Se assim é, e se vós e o mar imenso	ASSIM SE SE IMENSO VÓS MAR
Sois qualquer coisa, vós por o sentir	COISA QUALQUER SENTIR
E o mar por o ser, disto que penso;	MAR PENSAR
Se no fundo ignorado do existir	FUNDO EXISTIR IGNORAR
Há mais alma que a que pode vir	ALMO MAIS HAVER VIR PODER
À tona vã de nós, como à do mar,	TONA VÃO COMO NÓS MAR
Fazei‑me livre, enfim, de o ignorar.	IGNORAR FAZER EU LIVRE
Dai-me uma alma transposta de argonauta,	ALMA EU TRANSPOR ARGONAUTA DAR
Fazei que eu tenha, como o capitão	EU COMO CAPITÃO FAZER TER
Ou o contramestre, ouvidos para a flauta	OU CONTRAMESTRE FLAUTA OUVIR
Que chama ao longe o nosso coração,	AO LONGE NOSSO CORAÇÃO NOME
Fazei-me ouvir, como a um perdão,	COMO VÓS FAZER EU PERDÃO OUVIR
Numa reminiscência de ensinar,	REMINISCÊNCIA ENSINAR
O antigo português que fala o mar!	PORTUGUÊS MAR FALAR
O sol que doura as neves afastadas	NEVES DOURAR AFASTAR
No inútil cume de altos montes quedos	INÚTIL ALTOS MONTES QUEDOS CUME
Faz no vale luzir rios e estradas	VALE RIOS ESTRADAS LUZIR ELE FAZER
E torna as verdes árvores brinquedos...	ÁRVORES VERDES BRINQUEDOS ELE TORNAR
Tudo é pequeno, salvo o cume frio,	TUDO CUME PEQUENO FRIO
De onde quem pensa que do alto não vê	ONDE QUEM ALTO PENSAR (NÃO)
Vê tudo mínimo, num desvario	MÍNIMO TUDO DESVARIO ELE VER
De quem da altura olhe quanto é.	OLHAR QUANTO QUEM ALTURA OLHAR
Resulta daqui que sendo o percipiente criativo abstracto, abstracto é, também, o percebido por esse percipiente	TAMBÉM CRIATIVO ABSTRACTO ELE RESULTAR ESSE PERCIPIENTE ABSTRACTO PERCEBER AQUI PERCIPIENTE
E também que o percipiente passivo sendo concreto, é também concreto.	TAMBÉM PERCIPIENTE PASSIVO CONCRETO TAMBÉM CONCRETO
